datetime,streamflow_m^3/s
1980-07-14T00:00:00Z,0.15073875
1980-07-15T00:00:00Z,0.15021893
1980-07-16T00:00:00Z,0.14861248
1980-07-17T00:00:00Z,0.14628069
1980-07-18T00:00:00Z,0.1425888
1980-07-19T00:00:00Z,0.14405307
1980-07-20T00:00:00Z,0.14648287
1980-07-21T00:00:00Z,0.14660598
1980-07-22T00:00:00Z,0.14782067
1980-07-23T00:00:00Z,0.14718556
1980-07-24T00:00:00Z,0.1473717
1980-07-25T00:00:00Z,0.14624634
1980-07-26T00:00:00Z,0.14500724
1980-07-27T00:00:00Z,0.14479227
1980-07-28T00:00:00Z,0.14480916
1980-07-29T00:00:00Z,0.14038602
1980-07-30T00:00:00Z,0.22419488
1980-07-31T00:00:00Z,0.25994918
1980-08-01T00:00:00Z,0.1992281
1980-08-02T00:00:00Z,0.2799074
1980-08-03T00:00:00Z,0.21426699
1980-08-04T00:00:00Z,0.14638017
1980-08-05T00:00:00Z,0.14003927
1980-08-06T00:00:00Z,0.14037177
1980-08-07T00:00:00Z,0.13941683
1980-08-08T00:00:00Z,0.13773426
1980-08-09T00:00:00Z,0.13902976
1980-08-10T00:00:00Z,0.13855974
1980-08-11T00:00:00Z,0.13745248
1980-08-12T00:00:00Z,0.14013466
1980-08-13T00:00:00Z,0.14033958
1980-08-14T00:00:00Z,0.14029863
1980-08-15T00:00:00Z,0.3716615
1980-08-16T00:00:00Z,0.27234134
1980-08-17T00:00:00Z,0.1507008
1980-08-18T00:00:00Z,0.13905868
1980-08-19T00:00:00Z,0.14874825
1980-08-20T00:00:00Z,0.14433363
1980-08-21T00:00:00Z,0.13985112
1980-08-22T00:00:00Z,0.14063765
1980-08-23T00:00:00Z,0.18569334
1980-08-24T00:00:00Z,0.17127828
1980-08-25T00:00:00Z,0.14664827
1980-08-26T00:00:00Z,0.16781041
1980-08-27T00:00:00Z,0.20667495
1980-08-28T00:00:00Z,0.16841623
1980-08-29T00:00:00Z,0.142312
